,Date,goals_for,goals_against,goals,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target
269,2018-12-16,1,3,1,6,2,33.3,21.4,0,0,0,0.7,0.7,0.12,0.3,0.3,27,15,19,8,0,7,20,35.0,13,32,15,17,21,48,43,1,0,16.0,6,2,3,0
270,2019-01-02,2,0,2,16,7,43.8,18.6,3,0,0,2.6,2.6,0.16,-0.6,-0.6,15,10,10,5,0,6,15,40.0,9,12,3,9,10,25,25,0,0,20.0,2,2,8,1
271,2019-01-13,1,0,1,13,8,61.5,18.6,0,0,0,0.8,0.8,0.06,0.2,0.2,15,8,7,7,1,7,15,46.7,8,13,4,9,7,22,26,0,0,16.5,6,2,0,1
272,2019-01-19,2,1,2,19,4,21.1,18.5,2,1,1,2.4,1.7,0.09,-0.4,-0.7,12,9,7,2,3,5,9,55.6,4,12,1,11,5,17,17,0,1,15.0,5,2,7,1
273,2019-02-24,0,0,0,6,3,50.0,15.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,18,9,10,5,3,7,20,35.0,13,9,2,7,11,29,33,0,1,14.083333333333334,6,2,3,2
274,2019-02-27,3,1,3,13,4,30.8,16.9,2,0,0,1.0,1.0,0.08,2.0,2.0,21,12,9,11,1,7,21,33.3,14,8,4,4,7,28,20,0,0,20.0,2,2,10,1
275,2019-03-10,0,2,0,14,4,28.6,18.0,1,0,0,2.3,2.3,0.18,-2.3,-2.3,20,11,11,9,0,5,9,55.6,4,18,5,13,13,33,14,2,0,16.5,6,2,5,0
276,2019-04-13,2,1,2,12,2,16.7,21.1,0,2,2,2.5,0.9,0.08,-0.5,-0.9,21,14,9,11,1,11,22,50.0,11,21,8,13,11,32,28,1,1,17.5,5,2,9,1
277,2019-04-21,0,4,0,7,1,14.3,22.2,1,0,0,0.3,0.3,0.05,-0.3,-0.3,12,10,5,5,2,5,8,62.5,3,11,4,7,8,20,24,0,0,13.5,6,2,4,0
278,2019-04-24,0,2,0,12,1,8.3,25.5,1,0,0,0.5,0.5,0.04,-0.5,-0.5,13,10,5,7,1,8,25,32.0,17,7,0,7,10,23,13,1,1,20.0,2,2,6,0
