Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-11-29,6,2,33.3,20.6,0,0,1,1.1,0.3,0.06,-1.1,-0.3,11,7,8,2,1,4,15,26.7,11,6,1,5,7,18,14,1,0,20.0,2,9,4,0,0.8999999999999989,0.9000000000000016,9.333333333333334,16.0,0.0,0.0,0.0
2017-11-29,7,4,57.1,21.0,0,0,1,1.5,0.7,0.11,2.5,3.3,19,14,9,7,3,11,28,39.3,17,5,0,5,15,34,53,0,1,20.0,2,4,9,1,1.433333333333333,0.9000000000000021,9.333333333333334,20.666666666666668,0.0,0.0,0.0
2017-12-02,5,1,20.0,13.8,0,1,1,1.7,1.0,0.19,-0.7,-1.0,18,13,11,5,2,7,16,43.8,9,5,2,3,12,30,16,0,1,15.0,5,7,3,0,0.8333333333333317,0.7000000000000015,8.0,15.666666666666666,0.0,0.0,0.0
2017-12-02,22,8,36.4,16.6,0,1,1,3.2,2.4,0.11,-0.2,-0.4,17,12,6,9,2,3,9,33.3,6,9,2,7,14,31,15,1,1,12.5,5,1,8,1,1.0666666666666667,1.0666666666666669,14.666666666666666,20.0,0.0,0.0,0.0
2017-12-02,8,4,50.0,13.0,0,0,0,1.8,1.8,0.24,1.2,1.2,15,7,11,3,1,3,12,25.0,9,23,13,10,14,29,70,0,0,17.5,5,2,5,1,1.666666666666666,1.6666666666666672,13.666666666666666,12.666666666666666,0.0,0.0,0.0
2017-12-02,8,2,25.0,20.5,0,0,0,0.6,0.6,0.07,0.4,0.4,17,10,8,7,2,3,21,14.3,18,15,5,10,13,30,41,1,0,12.5,5,8,1,0,0.566666666666665,0.5666666666666682,9.0,16.0,0.0,0.0,0.0
2017-12-02,12,6,50.0,15.9,2,0,0,1.8,1.8,0.15,2.2,2.2,17,12,9,5,3,6,12,50.0,6,6,1,5,15,32,20,0,0,15.0,5,3,7,1,1.4999999999999993,1.500000000000001,14.333333333333334,21.666666666666668,0.0,0.0,0.0
2017-12-02,33,14,42.4,16.7,2,0,0,4.7,4.7,0.16,-3.7,-3.7,18,14,8,6,4,7,14,50.0,7,10,3,7,5,23,10,2,1,17.5,5,5,2,0,1.9666666666666661,1.9666666666666688,16.666666666666668,15.333333333333334,0.0,0.0,0.0
2017-12-03,7,4,57.1,17.1,0,0,0,0.6,0.6,0.09,0.4,0.4,20,12,16,2,2,5,18,27.8,13,20,9,11,15,35,40,0,0,16.0,6,9,6,0,1.033333333333332,0.7666666666666683,6.0,14.666666666666666,0.0,0.0,0.0
2017-12-03,24,8,33.3,19.6,1,0,0,2.3,2.3,0.1,-0.3,-0.3,22,18,11,9,2,3,15,20.0,12,8,0,8,6,28,10,0,1,16.0,6,6,9,1,2.3999999999999995,2.133333333333336,16.666666666666668,14.333333333333334,0.0,0.0,0.0
